Word,CEFR,Receptive_freq
fonetisk,C1,2
föräldraledig,B1,2
förbannad,B2,1
förbjuden,B1,3
förbjuden,B2,2
föregående,B1,1
föregående,B2,1
föregående,C1,5
förfärlig,B1,2
förfärlig,B2,1
förhandlingsbar,C1,2
förlägen,B2,4
formbar,B2,1
formell,A2,1
formell,B1,1
formell,B2,8
formell,C1,16
förmodern,C1,1
forn,C1,2
förnäm,B2,3
fornstor,B1,1
fornsvensk,B2,1
fornsvensk,C1,4
förra,A1,7
förra,A2,33
förra,B1,16
förra,B2,11
förra,C1,15
förrförra,B2,1
försiktig,A2,3
försiktig,B1,2
försiktig,B2,7
försiktig,C1,8
förskräckt,B2,1
förskrämd,C1,1
förstådd,C1,3
förståelig,B2,1
förståndig,B2,1
förstnämnd,C1,3
försupen,B2,1
försvarslös,B2,1
försvunnen,B1,1
förtjust,B1,3
förtjust,B2,6
förtjust,C1,3
förträfflig,B1,1
förträfflig,C1,1
förtrogen,C1,1
förväntansfull,B1,1
förväntansfull,B2,1
fossil,B2,4
fossil,C1,1
fräck,B1,2
fräck,B2,1
fräck,C1,5
framgångsrik,B1,4
framgångsrik,B2,11
framgångsrik,C1,2
främmande,A2,1
främmande,B1,2
främmande,B2,9
främmande,C1,35
främre,A2,1
främre,B1,1
främst,B2,4
framstående,B2,2
framtida,B1,1
framtida,B2,4
framtida,C1,2
fransk,A1,1
fransk,A2,1
fransk,B1,8
fransk,B2,3
fransk,C1,9
frånskild,A2,1
frånskild,B1,1
frånskild,C1,4
frånvarande,C1,2
fräsch,A2,3
fräsch,B1,7
fräsch,B2,3
fräsch,C1,2
fräsig,B1,1
fräsig,C1,1
fredlig,C1,2
fri,B1,3
fri,C1,6
fridfull,B2,3
fridfull,C1,1
fridsam,B1,2
frigjord,C1,1
frisk,A1,2
frisk,A2,5
frisk,B1,17
frisk,B2,15
frisk,C1,6
frispråkig,B1,1
frivillig,B1,3
frivillig,B2,5
frivillig,C1,2
fruktansvärd,B1,1
fruktansvärd,B2,5
fruktansvärd,C1,3
ful,A1,2
ful,A2,7
ful,B1,5
ful,B2,6
ful,C1,16
full,A1,1
full,A2,4
full,B1,10
full,B2,18
full,C1,25
fullkomlig,B2,2
fullkomlig,C1,4
fullständig,A2,1
fullständig,B1,2
fullständig,B2,5
fullständig,C1,9
fullvuxen,B1,3
fundamental,C1,2
funktionell,B1,3
funktionell,C1,3
futtig,B2,1
